home_passing_ypg,home_rushing_ypg,home_total_ypg,home_points_pg,home_passing_tds_pg,home_turnovers_pg,home_injury_pct,away_passing_ypg,away_rushing_ypg,away_total_ypg,away_points_pg,away_passing_tds_pg,away_turnovers_pg,away_injury_pct,passing_advantage,rushing_advantage,scoring_advantage,turnover_advantage,injury_advantage,home_field_advantage,is_playoff,is_neutral,week,season,home_win,home_score,away_score,game_id
35.395832,10.125,45.520832,9.634583,0.2916666666666667,0.02083333395421505,25.5,30.179487,18.717949,48.897438,8.814872,0.23076923076923078,0.1794871836900711,25.5,5.216345,-8.592949,0.8197117,0.15865384973585606,0.0,2.5,1,0,7,2015,1,30.0,23.0,2015_7_NE_NYJ
23.672728,9.781818,33.454544,5.9650908,0.16363636363636364,0.09090909361839294,25.5,30.719297,13.684211,44.403507,8.055088,0.14035087719298245,0.07017543911933899,25.5,-7.04657,-3.9023924,-2.0899973,-0.020733654499053955,0.0,2.5,1,0,7,2015,0,7.0,10.0,2015_7_TEN_ATL
22.903225,10.370968,33.274193,5.5338717,0.0967741935483871,0.12903225421905518,25.5,28.634146,14.926829,43.560974,7.4526834,0.17073170731707318,0.17073170840740204,25.5,-5.730921,-4.5558615,-1.9188118,0.04169945418834686,0.0,2.5,1,0,7,2015,1,31.0,30.0,2015_7_WAS_TB
26.262295,8.803279,35.065575,6.393115,0.18032786885245902,0.06557376682758331,25.5,24.788462,10.25,35.03846,5.8415384,0.09615384615384616,0.07692307978868484,25.5,1.4738331,-1.4467211,0.5515766,0.011349312961101532,0.0,2.5,1,0,7,2015,1,27.0,20.0,2015_7_NYG_DAL
20.73077,12.769231,33.5,6.1023073,0.15384615384615385,0.07692307978868484,25.5,26.913794,10.75862,37.672413,6.6368966,0.15517241379310345,0.1551724076271057,25.5,-6.1830235,2.0106106,-0.5345893,0.07824932783842087,0.0,2.5,1,0,7,2015,1,27.0,16.0,2015_7_CAR_PHI
28.17742,11.758064,39.935486,7.894839,0.22580645161290322,0.08064515888690948,25.5,23.217392,9.666667,32.88406,5.5504355,0.11594202898550725,0.10144927352666855,25.5,4.9600277,2.0913973,2.3444033,0.020804114639759064,0.0,2.5,1,0,7,2015,1,26.0,18.0,2015_7_ARI_BAL
35.41379,8.655172,44.068962,9.306207,0.27586206896551724,0.017241379246115685,25.5,27.366667,11.75,39.11667,7.339667,0.21666666666666667,0.11666666716337204,25.5,8.047125,-3.0948277,1.9665399,0.09942528791725636,0.0,2.5,1,0,8,2015,1,36.0,7.0,2015_8_NE_MIA
27.636364,11.272727,38.909092,6.450909,0.10606060606060606,0.04545454680919647,25.5,28.569445,6.611111,35.180557,6.2163887,0.18055555555555555,0.1388888955116272,25.5,-0.9330807,4.661616,0.23452044,0.09343434870243073,0.0,2.5,1,0,8,2015,1,45.0,10.0,2015_8_KC_DET
29.880596,13.537313,43.417908,7.656418,0.13432835820895522,0.08955223858356476,25.5,28.288462,15.423077,43.71154,7.387307,0.17307692307692307,0.13461539149284363,25.5,1.5921345,-1.8857632,0.26911068,0.04506315290927887,0.0,2.5,1,0,8,2015,0,20.0,23.0,2015_8_ATL_TB
24.824562,11.789474,36.614037,6.12807,0.12280701754385964,0.08771929889917374,25.5,20.287878,11.666667,31.954544,5.097879,0.07575757575757576,0.06060606241226196,25.5,4.536684,0.12280655,1.030191,-0.027113236486911774,0.0,2.5,1,0,8,2015,0,20.0,23.0,2015_8_CHI_MIN
27.56,8.44,36.0,6.169067,0.14666666666666667,0.0533333346247673,25.5,28.478872,12.380281,40.859154,8.013803,0.22535211267605634,0.07042253762483597,25.5,-0.91887283,-3.9402819,-1.8447356,0.017089203000068665,0.0,2.5,1,0,8,2015,0,20.0,34.0,2015_8_CLE_ARI
28.594595,8.743243,37.337837,6.8505406,0.1891891891891892,0.09459459781646729,25.5,23.265625,9.609375,32.875,5.7493753,0.15625,0.109375,25.5,5.32897,-0.8661318,1.1011653,0.014780402183532715,0.0,2.5,1,0,8,2015,1,20.0,6.0,2015_8_HOU_TEN
29.026316,9.092105,38.11842,6.6834216,0.10526315789473684,0.06578947603702545,25.5,24.957747,9.422535,34.38028,6.182817,0.15492957746478872,0.056338027119636536,25.5,4.068569,-0.33043003,0.5006046,-0.009451448917388916,0.0,2.5,1,0,8,2015,1,52.0,49.0,2015_8_NO_NYG
